token_id	token	frequency
766	కేంద్ర@@	442300
767	మాట్లాడుతూ@@	442154
768	మార@@	440973
769	డం@@	440670
770	సాధారణ	439931
771	ఘటన@@	439785
772	చేస్తే	438976
773	శారు@@	438871
774	తోనే	438421
775	అంద@@	437890
776	అన్న	437193
777	నన్ను	435108
778	కారణం	434831
779	వెళ్లి	434742
780	ందరికీ	434349
781	మై	434223
782	ంత	432925
783	మూవీ	432170
784	ప్రేక్షకుల@@	432166
785	మందు@@	431746
786	తూ	430964
787	వేయ@@	430795
788	ఆరోపి@@	430234
789	తుందని	430136
790	పరి@@	430055
791	కథ	429915
792	డాక్టర్	429738
793	పట్ల	429725
794	విచారణ	429101
795	పడి@@	428841
796	స్తున్నాయి@@	427361
797	తీసుకో@@	427203
798	స్థానిక	426760
799	కల@@	426567
800	జ్@@	426283
801	జరగ@@	426281
802	ఉంటే@@	426049
803	ఆరోగ్య	425711
804	వచ్చే@@	425524
805	పెట్టి	424280
806	అధిక	423067
807	జీ@@	422544
808	ఇంట్లో	422185
809	స్తుందని	422071
810	ఒకటి	422054
811	చూసి	421865
812	జారీ	421185
813	తండ్రి	421173
814	చేస్తున్నా@@	420422
815	రో	420243
816	సూపర్	419765
817	వ్యతిరేక@@	419482
818	కేంద్రం@@	419450
819	సంఖ్య	419415
820	అంత	419372
821	అంతా	418570
822	భావ@@	418288
823	దర్శకుడు	418262
824	ఉంది	417829
825	కీ@@	416858
826	తల్లి	416800
827	దే	416566
828	రైతుల@@	416201
829	డీ@@	415473
830	టీ	415168
831	నూ@@	410682
832	కొండ@@	410459
833	తోపాటు	410440
834	టీఆర్ఎస్	409802
835	పెరుగు@@	409426
836	సభ్యులు	409364
837	మాట	409099
838	దీని@@	408939
839	అలాంటి	408738
840	సినిమాల@@	408728
841	డబ్బు@@	408500
842	సమస్యల@@	408465
843	సోమవారం	408197
844	ప్రజా@@	408081
845	ాల్సి	408058
846	ించే	408019
847	మరోసారి	407908
848	సాధించ@@	407657
849	ఉండే@@	407592
850	ఉత్పత్తి	407490
851	శివ@@	407477
852	న్న@@	407240
853	అండ్	407063
854	స్వామి	406992
855	క్	406469
856	కుంటే	405425
857	హీరోయిన్	404941
858	ుల	404337
859	అవసరం@@	404249
860	ింది@@	403974
861	అందరూ	403744
862	అర్థం	403533
863	ంత@@	403441
864	యో@@	403276
865	పోలీసుల@@	402974
866	అభిప్రాయ@@	402778
867	దగ్గర@@	402674
868	ములు@@	402628
869	దాన్ని	402496
870	అమెరికా	401546
871	చిన్న@@	401062
872	ఎందుకంటే	401032
873	అని@@	400769
874	శుక్రవారం	400566
875	బా@@	400430
876	య్యాయి@@	400390
877	ణ@@	400096
878	ఒకే	399570
879	విజయ@@	399512
880	మారు@@	399262
881	శ్@@	399019
882	కోవాలి@@	398283
883	ఏదో	397893
884	మ	397787
885	అయిన@@	397049
886	పోయారు@@	396667
887	చేత	396650
888	బీ@@	396395
889	కనిపించ@@	395528
890	రామ@@	394999
891	న్నీ	394399
892	తప్పు@@	394183
893	తగ్గి@@	393892
894	సహా	392935
895	వాటి@@	392808
896	కునే	392400
897	భార్య	392399
898	కూడ	392134
899	ఉద్యోగుల@@	391943
900	రామ్	391356
901	ముగ	389753
902	బీజేపీ@@	388937
903	ారని@@	388817
904	వున్న@@	388713
905	ఎన్టీఆర్	388707
906	నిర్మించ@@	388610
907	కోవడానికి	387846
908	పడుతుంది@@	387153
909	గురువారం	386629
910	సో@@	386585
911	ాం@@	385591
912	ష@@	384718
913	ఇవి	384369
914	దేవ@@	383946
915	సమస్యలు	383588
916	వాడు	383447
917	సీనియర్	382123
918	నీరు	381813
919	పెంచు@@	381751
920	ఏళ్ల	381435
921	అవుతుంది@@	381138
922	వీరి@@	380737
923	సుమారు	380311
924	కొ@@	380087
925	చేసేందుకు	379925
926	వైరల్	379713
927	రోజులు	379566
928	ధర్మ@@	379002
929	సంవత్సరం	378770
930	ఒ@@	378361
931	దాని@@	378263
932	లె@@	377469
933	కార్యదర్శి	377294
934	వైరస్	376776
935	చేస్తా@@	376376
936	ఐదు	376136
937	భూ@@	375777
938	బాధ@@	375282
939	తీ@@	374797
940	ఇంటి	374782
941	నటించిన	374474
942	బట్టి	374341
943	ింప@@	374030
944	ించి@@	373768
945	చెయ్య@@	373756
946	వ్యక్తి@@	372711
947	చేసిన@@	371825
948	దు	371188
949	చివరి	371077
950	వస్తుంది@@	371074
951	శాఖ@@	369893
952	ప్రభావం	369742
953	అందుబాటులో	369265
954	త్	369042
955	ఎన్నిక@@	368930
956	ఇచ్చి@@	368682
957	భార్య@@	368544
958	ఇందు@@	368474
959	ర	367807
960	జరుగుతు@@	367779
961	కాల@@	367502
962	మంగళవారం	367038
963	కారు	366871
964	గారి	366793
965	భూమి@@	366268
966	సమస్య	366095
967	బడింది@@	365768
968	రకాల	365345
969	వెళ్ళ@@	365148
970	నేత	365134
971	నున్న	364785
972	వేసి	364576
973	గ్@@	364182
974	బుధవారం	364149
975	స్వ@@	363748
976	నిలిచి@@	363512
977	జా@@	363231
978	జన@@	363125
979	షూటింగ్	363114
980	ప్రకటన@@	362785
981	చేసు@@	362669
982	ప్రాంతంలో	362583
983	వ్యవస్థ@@	362083
984	వైద్య	361603
985	బాల@@	361534
986	ఇబ్బందుల@@	361216
987	ఢిల్లీ	361123
988	త్వరలో	361021
989	ఆదివారం	360708
990	రీ	360507
991	పరుగు@@	359947
992	యీ	359729
993	రాజ్	359643
994	స్వామి@@	359458
995	కుంటూ	359075
996	చేస్తారు@@	358782
997	పోలీస్	358210
998	డైరెక్టర్	357666
999	పోటీ@@	357470
1000	డె@@	357310
1001	నిర్ణయ@@	356856
1002	చెప్పిన	356630
1003	స్థాయి	356509
1004	రోజుల్లో	356077
1005	మందికి	356025
1006	గౌరవ@@	355255
1007	వాటి	355236
1008	యందు	355008
1009	ఫిర్యాదు	354850
1010	దృష్టి	353617
1011	పడ@@	353591
1012	ఎక్కడ@@	352525
1013	మ్మ@@	352119
1014	ూ@@	352098
1015	స్థానంలో	351820
1016	రె@@	351362
1017	ప్పుడు@@	351233
1018	బాబు@@	351220
1019	చేయవచ్చు@@	350717
1020	పూజ@@	350698
1021	వద్ద@@	350661
1022	గంటల@@	350396
1023	వివాహ@@	349801
1024	కనీసం	349549
1025	ప్రాంతాల@@	348948
1026	స్తామని	348893
1027	నె@@	348853
1028	కారు@@	348448
1029	కపోతే	348431
1030	మ్యాచ్@@	348262
1031	జరిగి@@	347447
1032	వ్యక్తుల@@	347428
1033	ఉంటా@@	347397
1034	రూప@@	347182
1035	ంతా	346628
1036	కమిటీ	346403
1037	కోర్టు	345855
1038	నీవు	345416
1039	హిట్	345116
1040	నాడు	344682
1041	పంప@@	344524
1042	మరోవైపు	344502
1043	సినీ	344367
1044	చిత్ర	344362
1045	శనివారం	344182
1046	క్రితం	344125
1047	వు	343310
1048	ఉన్నాయ@@	342934
1049	చ	342579
1050	ఎంపీ	342558
1051	ాయని	342447
1052	మార్పు@@	342435
1053	స్తున్న	342104
1054	దీనిని	342025
1055	బాలీవుడ్	341921
1056	మని@@	341769
1057	ిస్తూ	340906
1058	ఆందోళన	340878
1059	పేర్కొ@@	340673
1060	ఆయా	340619
1061	ిస్తారు@@	340380
1062	కంపెనీ@@	340024
1063	భ@@	339991
1064	మాట@@	339973
1065	విద్యుత్	338278
1066	నీటి	337992
1067	యో	337858
1068	ఇప్పటి	337542
1069	రాహుల్	337428
1070	నది@@	337290
1071	బ్ర@@	336460
1072	లెక్క@@	336308
1073	వీర@@	336266
1074	ఆనంద@@	335739
1075	ప్రధాన@@	335603
1076	అసెంబ్లీ	334800
1077	ముందే	334424
1078	గి@@	334415
1079	కున్నారు@@	333939
1080	చంద్ర@@	333347
1081	రెండు@@	333342
1082	వాళ్లు	332932
1083	ముల	332889
1084	ప్రాంతాల్లో	332582
1085	సమస్య@@	332573
1086	ఆంధ్రప్రదేశ్	332548
1087	పట్టు@@	332536
1088	తున్న	332406
1089	ఖర్చు	331665
1090	తను	331410
1091	ఎవరి@@	331177
1092	పడి	330734
1093	వారం	330656
1094	అంశాల@@	330630
1095	స్తున్న@@	330611
1096	దీనిపై	330549
1097	ఇం@@	330468
1098	దాడి	330026
1099	కాస్త	329517
1100	మంది@@	329435
1101	దర్శకత్వం@@	329388
1102	విద్య@@	328501
1103	మహిళా	328159
1104	ల్లో@@	328153
1105	ఈరోజు	327671
1106	మహేష్	327609
1107	ఆత్మ@@	327547
1108	వ్వ@@	327541
1109	సాగు@@	327361
1110	కోర్టు@@	327224
1111	దేశం	326539
1112	ఎంపిక	326530
1113	అద్భుతమైన	326439
1114	ీ@@	326348
1115	ఆడ@@	326275
1116	యె@@	326014
1117	చర్చ@@	325779
1118	అందరి@@	325148
1119	త్రి@@	324916
1120	ఎవరు	324700
1121	ఏమి	324410
1122	ఉంటారు@@	324387
1123	సరైన	323820
1124	సంతోష@@	323750
1125	డే	323394
1126	మోదీ	323359
1127	మూ@@	323255
1128	ఉంచ@@	323237
1129	ఉంటుందని	323233
1130	సంవత్సరాల	322788
1131	ీ	322785
1132	ట్లు@@	322756
1133	పాల@@	322438
1134	స	322120
1135	కళ్యాణ్	322013
1136	విన@@	321870
1137	చు	321860
1138	వేదిక@@	321658
1139	రైతు	321655
1140	ఏదైనా	321629
1141	ామని	321410
1142	సమావేశంలో	321373
1143	పనుల@@	320324
1144	పి	320297
1145	అతడు	320005
1146	న్యూస్	319871
1147	వచ్చాయి@@	319625
1148	ందో	319401
1149	స్పందించ@@	319259
1150	ఘటన	319184
1151	బడిన	318927
1152	ప్రయత్నం	318925
1153	ఉత్పత్తుల@@	318432
1154	జిల్లా@@	317952
1155	మండి@@	317476
1156	మార్చి	317442
1157	ప్రకారం@@	317239
1158	కదా@@	317059
1159	ప్రమాదం	316906
1160	భర్త	316876
1161	పెట్టు@@	316860
1162	గురు@@	316854
1163	చెల్లించ@@	316803
1164	మో	316783
